"id","revision_id","label","description"
"25","25","    
        
        Easy access to highway -  -    
        
    ","    
        
            
        I-20 (Augusta and Columbia)    
    "
"615","627","    
        
        Horses! -    
        
    ","    
        
            
        Equestrian sports are a big part of Aiken’s appeal with polo matches and steeplechase races often on the calendar of events. Many prize-winning thoroughbreds train here and are kept in expensive stables that are built to the highest standards.      
    "
"616","628","    
        
        Wonderful Way of Life -    
        
    ","    
        
            
        Aiken is known for its grand homes, beautiful gardens and quaint city center with parks and restaurants. A place you’ll want to live in.     
    "
"617","629","    
        
        Golf! -    
        
    ","    
        
            
        Everyone know that Augusta is home to the worlds’ most famous golf tournament, The Masters and the #1 rated gold course in the world, Augusta National, but it also home to many other great championship golf courses and a golfer’s paradise to live within.      
    "
"618","630","    
        
        Fort Gordon -    
        
    ","    
        
            
        is a United States Army installation and the current home of the United States Army Signal Corps and Cyber Center of Excellence. The fort is located to the southwest of the city and employs approximately 30,000 military and civilian employees and has an estimated $1.1 billion economic impact on the Augusta-Richmond County economy.    
    "
"15","15","    
        
        Easy access to Highways  -    
        
    ","    
        
            
        I-20 (Florence, Augusta, GA)    
    "
"16","16","    
        
        Rich History -    
        
    ","    
        
            
        History is alive in Camden, from the tree-lined streets that frame gorgeous antebellum homes to the outdoor Revolutionary War park complete with period reconstructions of colonial buildings.    
    "
"629","641","    
        
        Great Small Town Life -    
        
    ","    
        
            
        Camden and Lugoff/Elgin in Kershaw County are part of the Midlands region of South Carolina which surrounds Columbia. The Camden area offers affordable living and great conveniences such as shopping, restaurants and a historic, pedestrian-friendly downtown area.     
    "
"661","673","    
        
        Stunning Beaches -    
        
    ","    
        
            
        Charleston’s got the harbor, but just minutes away, the charming village of Sullivan’s Island has the ocean and pristine sand. To the south, there’s the eclectic charm of Folly Beach.    
    "
"662","674","    
        
        Fore! -    
        
    ","    
        
            
        There are over twenty golf courses in the Charleston region and Kiawah Island is one of the country’s top golf resorts, featuring five championship courses in privileged oceanfront locations.    
    "
"663","675","    
        
        Memorable Walks -    
        
    ","    
        
            
        One of the best things is how long you can be there without ever needing your car. The City is compact, safe and walkable. It epitomizes “pedestrian-friendly”. In the low country region, there are numerous walking paths through natural wonderlands with scenic vistas. And, of course, there are always strolls on the beach.     
    "
"630","642","    
        
        A Great College Town -    
        
    ","    
        
            
        The small college town of Clemson, SC is cherished by many as the home of the mighty tigers football team and a great gathering place for college football, but it also serves as a great cultural and economic hub for year-round living. Many families are choosing to relocate to the Clemson area to enjoy the beautiful lakes, attend the good schools and enjoy the diverse dining and cultural activities.     
    "
"631","643","    
        
        A Beautiful, Walkable Campus -    
        
    ","    
        
            
        Clemson is a one of the nation’s finest walkable campuses, nestled in the foothills of the Blue Ridge Mountain, it offers beautiful gardens, walking paths and scenic views of the surrounding areas.     
    "
"4","4","    
        
        Top 10 Places to live in 2013 -    
        
    ","    
        
            
        Columbia, the capital of SC, was ranked #5 on Kiplingers top 10 best mid-size cities to live!    
    "
"5","5","    
        
        Ft Jackson, University of South Carolina and more! -    
        
    ","    
        
            
        Ft Jackson is home to the largest training base in the country and Columbia boasts 6 colleges.    
    "
"7","7","    
        
        Enjoy our zoo, parks and recreation areas -    
        
    ","    
        
            
        Riverbanks Zoo, Congaree National Park, EdVenture Children's Museum, Columbia Musem of Art    
    "
"27","27","    
        
        Easy access to highways -    
        
    ","    
        
            
        Located at intersection of I-95 and I-20    
    "
"640","652","    
        
        An Hour to the Beach -    
        
    ","    
        
            
        Florence attracts families who love great schools and a great place to live. The area is only a little over an hour to the grand SC beaches, yet housing is more affordable here than beach living.      
    "
"641","653","    
        
        The Pee Dee Region -    
        
    ","    
        
            
        Florence is located within a region of South Carolina called the ""Pee Dee"" region which is an eight county region surrounding the Great Pee Dee River. The river flows from the Appalachian Mountains of North Carolina to the Atlantic Ocean at Georgetown South Carolina.    
    "
"805","822","    
        
        Vibrant Downtowns -    
        
    ","    
        
            
        Downtown Greenville has become a favorite destination for diners and shoppers who want to experience a unique variety of dining experiences unmatched in the state.    
    "
"806","823","    
        
        Outdoor Activities -    
        
    ","    
        
            
        Are plentiful, particularly in the Blue Ridge Mountains to the north and lakes to the west. New homes in Greenville are close to hiking, rafting, recreational sports and events at Clemson University.    
    "
"807","824","    
        
        Economic Powerhouse -    
        
    ","    
        
            
        New homes for sale in Greenville, SC are near high-paying jobs from top-performing companies. The area enjoys a strong economic base and new infrastructure – all while maintaining a relatively low cost of living.    
    "
"670","682","    
        
        Brookgreen Gardens -    
        
    ","    
        
            
        is a special place and one of South Carolina’s most beloved gardens. In a stunning setting, Brookgreen Gardens is a sculpture garden and wildlife preserve, located just north of Litchfield, SC. The 9,100-acre property presents themed gardens with American figurative sculptures placed in them. It also offers a Lowcountry Zoo and trails through several ecosystems in nature reserves on the property. Brookgreen Gardens was opened in 1932, and is built on four former rice plantations.    
    "
"675","687","    
        
        The Seafood Capital of South Carolina -    
        
    ","    
        
            
        Murrells Inlet is home to dozens of the best seafood restaurants in country but is also home to some of the nation's finest golf courses. For generations, tourists have flocked to the Murrells Inlet Marshwalk - a 1/2 mile long boardwalk that overlooks the beautiful salt marsh and offers direct access to many of the best restaurants in town.     
    "
"676","688","    
        
        Huntington State Park -    
        
    ","    
        
            
        A state park and coastal preserve located in Murrells Inlet.  Enjoy large white sandy beaches with few beach-goers and explore the nature center, which features history displays and live animals, Atalaya Castle and numerous wild bird watching areas.    
    "
"672","684","    
        
        Sparkling Crystal Beaches -    
        
    ","    
        
            
        We've got 60 miles of them. And they're gorgeous! Sparkling waters, white sands, endless possibilities.     
    "
"673","685","    
        
        365 Days of Golf -    
        
    ","    
        
            
        With over 100 championship courses, many designed by some of the legends of the game, Myrtle Beach is a golfer's paradise. We're often called the golf capital of the world, and it's easy to see why.     
    "
"674","686","    
        
        Our People -    
        
    ","    
        
            
        From belles to bikers, our city is never short of fun, interesting people who are bursting with Southern charm and hospitality. Bring the family, and make some new friends that will last you a lifetime.    
    "
"677","689","    
        
        Why Pawleys? -    
        
    ","    
        
            
        What a great place to live on the Grand Strand.  Known throughout the nation for its gorgeous beaches and oceanfront mansions, residents can now discover what “arrogantly shabby” means.  Enjoy strolls on the wide beaches or riding golf carts about for rest and relaxation. Eat in some local restaurants and enjoy the finest cuisine.     
    "
"678","690","    
        
        What’s Up? -    
        
    ","    
        
            
        Located between Myrtle Beach and Charleston with good schools, friendly people, great restaurants, casual atmosphere, nice shopping, good place for tennis and golf, gorgeous old Live Oaks, scenic creeks, great fishing, great parks, good healthcare, mild winters, many opportunities to start a business, low taxes.    
    "
"666","678","    
        
        Ready to Eat? -    
        
    ","    
        
            
        You need to step back in time and visit the Beacon Drive-In, one of SC’s most popular restaurants and a famous Southern landmark since 1946! Known for its Chili-Cheese A-Plenty, a chili-cheeseburger buried underneath piles of sweet onion rings and french-fried potatoes. Other favorites at the Beacon include Sliced Pork A-Plenty, BBQ hash, and The Pig's Dinner, a loaded banana split.     
    "
"609","621","    
        
        Swan Lake Iris Gardens  -    
        
    ","    
        
            
        The beautiful black waters of Swan Lake form the setting for the spectacular Iris Gardens of Sumter, SC.  The only public park in the US to feature all eight swan species, Swan Lake Iris Gardens is also home to some of the nation's most intensive plantings of Japanese iris, which bloom yearly in mid to late May and last until the beginning of June.  The garden also boasts many other floral attractions, including colorful camellias, azaleas, day lilies, and Japanese magnolias.    
    "
"610","622","    
        
        Shaw Air Force Base  -    
        
    ","    
        
            
        Shaw Air Force Base is home to the 20th Fighter Wing, Headquarters Ninth Air Force/United States Central Command Air Forces, and several associated units. Shaw's fighter planes consist of the F-16 Fighting Falcon, which is a versatile multi-role fighter. F-16's dispatched from Shaw were the primary fighters used in the Gulf War.    
    "
"26","26","    
        
        Easy access to highway  -    
        
    ","    
        
            
        I-20 (Augusta and Columbia)    
    "
"613","625","    
        
        Horses! -    
        
    ","    
        
            
        Equestrian sports are a big part of Aiken’s appeal with polo matches and steeplechase races often on the calendar of events. Many prize-winning thoroughbreds train here and are kept in expensive stables that are built to the highest standards.      
    "
"614","626","    
        
        Wonderful Way of Life -    
        
    ","    
        
            
        Aiken is known for its grand homes, beautiful gardens and quaint city center with parks and restaurants. A place you’ll want to live in.     
    "
"619","631","    
        
        Golf and Augusta National -    
        
    ","    
        
            
        Along with being home to one of the most famous golf courses and golf tournaments in the world, the area surrounding Augusta, GA and Aiken, SC boasts some great golf courses that are open for play to every golfer.      
    "
"620","632","    
        
        Fort Gordon -    
        
    ","    
        
            
        is a United States Army installation and the current home of the United States Army Signal Corps and Cyber Center of Excellence. The fort is located to the southwest of the city and employs approximately 30,000 military and civilian employees and has an estimated $1.1 billion economic impact on the Augusta-Richmond County economy.    
    "
"621","633","    
        
        The Majestic Foothills  -    
        
    ","    
        
            
        Boiling Springs is ideally located within the Piedmont of South Carolina with picturesque views of the beautiful Blue Ridge Mountains.     
    "
"622","634","    
        
        Close to Everything  -    
        
    ","    
        
            
        It also lies close to the bustling downtown area of Spartanburg that offers a convenient abundance of shopping, good places to eat, the arts and cultural events.     
    "
"623","635","    
        
        History and Horses  -    
        
    ","    
        
            
        Camden is one of South Carolina’s great historic towns with battlefields and buildings dating back to the Revolutionary War, but it also a well-known horse area where many equestrian farms dot the landscape and the Colonial Cup, a steeplechase race draws revelers from across the region each spring.       
    "
"624","636","    
        
        Great Small Town Life -    
        
    ","    
        
            
        Camden and Lugoff/Elgin in Kershaw County are part of the Midlands region of South Carolina which surrounds Columbia. The Camden area offers affordable living and great conveniences such as shopping, restaurants and a historic, pedestrian-friendly downtown area.     
    "
"625","637","    
        
        The Lake -    
        
    ","    
        
            
        When people think of Chapin, they think of the lake… Lake Murray, 50,000 acres of fun in the sun with some of the best bass fishing in the nation, skiing, sailing and more!    
    "
"626","638","    
        
        Close to Everything  -    
        
    ","    
        
            
        Yet, Chapin beckons the new home buyers, as it is a close commute to the job centers in Columbia, Lexington and other areas. Chapin schools are sought after and golf courses and Chapin’s charming downtown attracts folks for dining, conveniences and shopping.    
    "
"627","639","    
        
        A Great College Town -    
        
    ","    
        
            
        The small college town of Clemson, SC is cherished by many as the home of the mighty tigers football team and a great gathering place for college football, but it also serves as a great cultural and economic hub for year-round living. Many families are choosing to relocate to the Clemson area to enjoy the beautiful lakes, attend the good schools and enjoy the diverse dining and cultural activities.     
    "
"628","640","    
        
        A Beautiful, Walkable Campus -    
        
    ","    
        
            
        Clemson is a one of the nation’s finest walkable campuses, nestled in the foothills of the Blue Ridge Mountain, it offers beautiful gardens, walking paths and scenic views of the surrounding areas.     
    "
"1","1","    
        
        Easy access to Highways -    
        
    ","    
        
            
        I-77 (Charlotte, NC & Charleston, SC), I-20 (Florence, Augusta, GA) and I-26 (Spartanburg/ Greenville).    
    "
"2","2","    
        
        Richland County School District Two -    
        
    ","    
        
            
        Spring Valley & Richland Northeast Highschool. Bythewood, Ridge View and Spring Valley earned recognition for academic achievement in 2010.    
    "
"3","3","    
        
        Proximity to some of the areas largest employers -    
        
    ","    
        
            
        Providence Hospital Northeast, RBMG, Bose Corp, Siemens Diesel Systems Tech, Spirax Sarco Inc. and Blue Cross Blue Shield are located in this area, which keep new homes in Columbia Downtown in demand.    
    "
"634","646","    
        
        Great Schools -    
        
    ","    
        
            
        The Dutch Fork area offers simply great, award-winning Lexington and Richland School District Five schools.     
    "
"635","647","    
        
        Great Location -    
        
    ","    
        
            
        Dutch Fork is known for its connectivity with roads that zip you to every part of town… Irmo, Chapin, Ballentine and downtown Columbia. The new YMCA on Kennerly Road is a popular destination. And there is always, the 50,000-acre fresh water paradise of Lake Murray close to your new home in this area.    
    "
"723","740","    
        
        Baseball Anyone? Great Things To Do! -    
        
    ","    
        
            
        Easley hosts the Big League World Series each year and the Upper South Carolina State Fair is located about two miles east of Easley.     
    "
"724","741","    
        
        A City Big Enough For Two Counties! -    
        
    ","    
        
            
        Most of the City of Easley lies within beautiful and scenic Pickens County, with only a very small portion of the city in Anderson County.     
    "
"636","648","    
        
        Great Location -    
        
    ","    
        
            
        Effingham attracts families who love great schools and a great place to live. The area is only a little over an hour to the grand SC beaches, yet housing is more affordable here than beach living.      
    "
"637","649","    
        
        The Pee Dee Region -    
        
    ","    
        
            
        Effingham is located within a region of South Carolina called the ""Pee Dee"" region which is an eight county region surrounding the Great Pee Dee River. The river flows from the Appalachian Mountains of North Carolina to the Atlantic Ocean at Georgetown South Carolina.    
    "
"28","28","    
        
        Easy access to highways -    
        
    ","    
        
            
        Located at the intersection of I-95 and I-20    
    "
"638","650","    
        
        An Hour to the Beach -    
        
    ","    
        
            
        An Hour to the Beach - Florence attracts families who love great schools and a great place to live. The area is only a little over an hour to the grand SC beaches, and homes for sale in Florence are popular for their proximity to these beaches. Yet housing is more affordable here than beach living, which keep new homes in Florence in demand.    
    "
"639","651","    
        
        The Pee Dee Region -    
        
    ","    
        
            
        Florence is located within a region of South Carolina called the ""Pee Dee"" region which is an eight county region surrounding the Great Pee Dee River. The river flows from the Appalachian Mountains of North Carolina to the Atlantic Ocean at Georgetown South Carolina.    
    "
"642","654","    
        
        Great Location -    
        
    ","    
        
            
        Fountain Inn is a short drive to every where you want to be in the Upstate. Greenville is only minutes away via a modern network of highways but there is always Fountain Inn’s quaint main street close-by offering boutiques, new dining and a vibrant farmer's market, which makes it a perfect place for your dream new home.    
    "
"643","655","    
        
        Step Back in Time -    
        
    ","    
        
            
        Living in a new home in Fountain Inn is like a step back in time, where neighbors know each other by name and the community gathers and celebrates holidays together. Each winter, there is a holiday celebration complete with horse and buggy rides through the town. Fountain Inn evokes Southern Charm at its finest.    
    "
"681","693","    
        
        The Gilbert Peach Festival   -    
        
    ","    
        
            
        Gilbert is famous for being the location of the annual Lexington County Peach Festival. In 2008, the 50th festival was held. The festival is held on the Fourth of July and draws thousands of visitors from across the region.    
    "
"682","694","    
        
        Superstars at Sports -    
        
    ","    
        
            
        Gilbert High School has won four state championships in baseball (1988, 2006, 2008, 2012), three in rugby (2007, 2009, 2010), one in boys cross country (2004), two in girls volleyball (1996, 1997), and one in girls track (1986).    
    "
"828","845","    
        
        Outdoor Activities -    
        
    ","    
        
            
        Are plentiful, particularly in the Blue Ridge Mountains to the north and lakes to the west. Clemson, SC, home of Clemson University, offers college town lifestyle and great Saturday football.    
    "
"829","846","    
        
        Economic Powerhouse -    
        
    ","    
        
            
        From across the globe, the Upstate attracts top-performing companies that bring high-paying jobs, a strong economic base, new infrastructure – all while maintaining a relatively low cost of living.    
    "
"830","847","    
        
        Vibrant Downtowns -    
        
    ","    
        
            
        Upstate, SC has become a favorite destination for diners and shoppers who want to experience a unique variety of dining experiences unmatched in the state.    
    "
"644","656","    
        
        The Fort -    
        
    ","    
        
            
        Fort Gordon is a United States Army installation and the current home of the United States Army Signal Corps and Cyber Center of Excellence. The fort is located to the southwest of the city and employs approximately 30,000 military and civilian employees and has an estimated $1.1 billion economic impact on the Augusta-Richmond County economy.    
    "
"645","657","    
        
        Did You Know? -    
        
    ","    
        
            
        Grovetown is one of the fastest growing areas of Georgia and Augusta. It offers outstanding educational opportunities with award-winning public schools, a university with more than 5,000 students, several private colleges and universities and the state of Georgia's medical university. A thriving medical community employs more than 25,000 people in the area.  An abundance of shopping and dining opportunities and a multitude of cultural and recreational activities make this area a great place to v    
    "
"17","17","    
        
        Lexington-Richland District 5 Schools -    
        
    ","    
        
            
        District Five again has received an overall “A” rating under the federal accountability system. District Five is the only district in the Midlands with the “A” rating.     
    "
"646","658","    
        
        The Lake -    
        
    ","    
        
            
        When people think of living in northwest Columbia, they think of living near Lake Murray… 50,000 acres of fun in the sun with some of the best bass fishing in the nation, skiing, sailing and more!    
    "
"647","659","    
        
        Close to Everything -    
        
    ","    
        
            
        the Irmo / Ballentine / Chapin area, also known as Northwest Columbia is an area that stretches up Interstate 26 from the cities of Irmo to Chapin. The area is known for great shopping, great eateries, some of the state’s best schools and an excellent road system that connects to everywhere you need to be, making it one of the finest areas to settle down in your new home.    
    "
"648","660","    
        
        Everything You Need For Your New Home -    
        
    ","    
        
            
        Lexington and West Columbia combined offer hundreds of choices of places to dine, shop and grocery shop. Notable is the Flight Deck Restaurant in downtown Lexington which is an “aviation wonder” and offers diners a “top flight experience”. Or maybe your picky palette chooses Zestos, an iconic restaurant underneath the ice cream cone in West Columbia.    
    "
"649","661","    
        
        Schools -    
        
    ","    
        
            
        Lexington schools are considered by many to be some of the finest in the state with districts earning national recognitions for excellence.      
    "
"671","683","    
        
        Brookgreen Gardens -    
        
    ","    
        
            
        is a special place and one of South Carolina’s most beloved gardens. In a stunning setting, Brookgreen Gardens is a sculpture garden and wildlife preserve, located just north of Litchfield, SC. The 9,100-acre property presents themed gardens with American figurative sculptures placed in them. It also offers a Lowcountry Zoo and trails through several ecosystems in nature reserves on the property. Brookgreen Gardens was opened in 1932, and is built on four former rice plantations.    
    "
"650","662","    
        
        Affordable Living -    
        
    ","    
        
            
        The suburban areas of Lugoff and Elgin located along US 1 in Kershaw County are part of northeast Metropolitan Columbia and offer affordable living and great conveniences such as great schools, shopping and restaurants, making it the perfect place to settle down into your new home.    
    "
"651","663","    
        
        Close to Everything  -    
        
    ","    
        
            
        Nestled in the heart of the Palmetto State, Lugoff / Elgin is an area in Kershaw County, SC located on the western side of the historic city of Camden. The new homes in the area are rapidly becoming popular because of their close proximity to job centers and Columbia, SC, excellent schools and relatively low cost of living compared with other Midlands locations.    
    "
"652","664","    
        
        Great Location -    
        
    ","    
        
            
        If you’re looking for a location for your new home right in the middle of it all- consider Mauldin! It is only minutes to Laurens Road, with fine dining and shopping, and a quick drive to everything in growing Simpsonville.    
    "
"653","665","    
        
        What to do? -    
        
    ","    
        
            
        Visit the Mauldin Downtown Market and or Railroad Concert Series in the Outdoor Amphitheater. Mauldin is sought-after by many new home buyers because of the established community, businesses and its excellent location.    
    "
"764","781","    
        
        The Seafood Capital of South Carolina -    
        
    ","    
        
            
        Murrells Inlet is home to dozens of the best seafood restaurants in country but is also home to some of the nation's finest golf courses. For generations, tourists have flocked to the Murrells Inlet Marshwalk - a 1/2 mile long boardwalk that overlooks the beautiful salt marsh and offers direct access to many of the best restaurants in town.     
    "
"765","782","    
        
        Huntington State Park -    
        
    ","    
        
            
        A state park and coastal preserve located in Murrells Inlet.  Enjoy large white sandy beaches with few beach-goers and explore the nature center, which features history displays and live animals, Atalaya Castle and numerous wild bird watching areas.    
    "
"774","791","    
        
        Sparkling Crystal Beaches -    
        
    ","    
        
            
        We've got 60 miles of them. And they're gorgeous! Sparkling waters, white sands, endless possibilities.    
    "
"775","792","    
        
        365 Days of Golf -    
        
    ","    
        
            
        With over 100 championship courses, many designed by some of the legends of the game, Myrtle Beach is a golfer's paradise. We're often called the golf capital of the world, and it's easy to see why.     
    "
"664","676","    
        
        Culture -    
        
    ","    
        
            
        The North Charleston Coliseum is a 14,000-seat multi-purpose arena and is part of the North Charleston Convention Center Complex, which also includes a Performing Arts Center. It is the area's primary venue for concerts and other major indoor events including being the home for the Stingray's professional ice hockey team.    
    "
"665","677","    
        
        Come Fly With Me -    
        
    ","    
        
            
        The Charleston International Airport is a joint civil-military airport located in North Charleston. It is South Carolina's largest and busiest airport.  In 2015 the airport served over 3.4 million passengers.  The airport is also home to Boeing that assembles the Boeing 787 Dreamliner.    
    "
"18","18","    
        
        Ft Jackson, Blue Cross Blue Shield -    
        
    ","    
        
            
        A short commute to major employers.    
    "
"632","644","    
        
        Great Location -    
        
    ","    
        
            
        one of the largest residential areas of Columbia is found to its northeast. Built around great schools and attractive neighborhoods, Columbia Northeast is a great place to find your dream new home.      
    "
"633","645","    
        
        Great Schools -    
        
    ","    
        
            
        Richland School District Two is a nationally recognized and accredited school district with award-winning magnet programs and superior teachers. There are five major high schools that serve the Northeast region.        
    "
"654","666","    
        
        Why Pawleys? -    
        
    ","    
        
            
        What a great place to live on the Grand Strand.  Known throughout the nation for its gorgeous beaches and oceanfront mansions, residents can now discover what “arrogantly shabby” means.  Enjoy strolls on the wide beaches or riding golf carts about for rest and relaxation. Eat in some local restaurants and enjoy the finest cuisine.     
    "
"655","667","    
        
        What’s Up? -    
        
    ","    
        
            
        Located between Myrtle Beach and Charleston with good schools, friendly people, great restaurants, casual atmosphere, nice shopping, good place for tennis and golf, gorgeous old Live Oaks, scenic creeks, great fishing, great parks, good healthcare, mild winters, many opportunities to start a business, low taxes.    
    "
"656","668","    
        
        Great Way to Live In Your New Home -    
        
    ","    
        
            
        Simpsonville has been recognized as one of the fastest growing cities in the state of South Carolina. Stretching from the Five Forks area off of Woodruff Road, to the growing Fairview Road, Simpsonville offers the best in fine dining, new shopping and recreation and they keep new homes in Simpsonville in high demand.    
    "
"657","669","    
        
        A Great Location -    
        
    ","    
        
            
        Only minutes from I385, Simpsonville is a convenient location to many local businesses.  Downtown Greenville is only 20 minutes away.    
    "
"667","679","    
        
        Ready to Eat? -    
        
    ","    
        
            
        You need to step back in time and visit the Beacon Drive-In, one of SC’s most popular restaurants and a famous Southern landmark since 1946! Known for its Chili-Cheese A-Plenty, a chili-cheeseburger buried underneath piles of sweet onion rings and french-fried potatoes. Other favorites at the Beacon include Sliced Pork A-Plenty, BBQ hash, and The Pig's Dinner, a loaded banana split.     
    "
"679","691","    
        
        Giant Fresh Water Lake -    
        
    ","    
        
            
        Lake Murray is a 50,000-acre reservoir for the Midlands of South Carolina with approximately 500 miles of shoreline. It serves as a source of hydroelectric power for the Midlands and is a recreational attraction with fishing, sailing and skiing.  At the time when the lake was finished in 1930, it was the world's largest man-made reservoir with the largest earthen dam.    
    "
"680","692","    
        
        It’s All Happening At The Zoo! -    
        
    ","    
        
            
        The Riverbanks Zoo and Garden is a 170-acre zoo, aquarium, and botanical garden located along the Saluda River in Columbia, SC. It is South Carolina's largest gated attraction, averaging over one million visitors each year and is home to over 2,000 animals, with collections of mammals, birds, reptiles, and fish.    
    "
"611","623","    
        
        Swan Lake Iris Gardens -    
        
    ","    
        
            
        The beautiful black waters of Swan Lake form the setting for the spectacular Iris Gardens of Sumter, SC.  The only public park in the US to feature all eight swan species, Swan Lake Iris Gardens is also home to some of the nation's most intensive plantings of Japanese iris, which bloom yearly in mid to late May and last until the beginning of June.  The garden also boasts many other floral attractions, including colorful camellias, azaleas, day lilies, and Japanese magnolias.    
    "
"612","624","    
        
        Shaw Air Force Base  -    
        
    ","    
        
            
        Shaw Air Force Base is home to the 20th Fighter Wing, Headquarters Ninth Air Force/United States Central Command Air Forces, and several associated units. Shaw's fighter planes consist of the F-16 Fighting Falcon, which is a versatile multi-role fighter. F-16's dispatched from Shaw were the primary fighters used in the Gulf War.    
    "
"658","670","    
        
        Quality of Life  -    
        
    ","    
        
            
        Swansea is a town in Lexington County, South Carolina. Swansea has great schools, a relaxed lifestyle, friendly neighbors, safe streets for new homes, amenities normally found in larger communities and a population that welcomes new residents with a warm handshake.    
    "
"659","671","    
        
        Great Schools -    
        
    ","    
        
            
        Swansea schools are part of Lexington School District Four and are popular choices for families seeking excellent schools to attend.      
    "
"668","680","    
        
        The Tiger Paw -    
        
    ","    
        
            
        Clemson University is on an impressive roll as both a sports titan and educational prowess. The Tigers consistently produce at many levels of collegiate sports one of the top programs in the country. The university has also been ranked one of the top 20 public universities in the country.     
    "
"669","681","    
        
        Lakes Keowee, Jocassee and Hartwell -    
        
    ","    
        
            
        Everyone in the Upstate knows that water recreational activities abound on three great fresh water lakes that span the western part of the state. The three lakes combined offer almost 82,000 acres of deep, mountain-fed, fresh water lakes ideal for swimming, fishing and boating.    
    "
"602","614","    
        
        Golf and Augusta National -    
        
    ","    
        
            
        Along with being home to one of the most famous golf courses and golf tournaments in the world, the area surrounding Augusta, GA and Aiken, SC boasts some great golf courses that are open for play to every golfer.    
    "
"603","615","    
        
        Great Location -    
        
    ","    
        
            
        The region is located near the mid-point of South Carolina's long border with Georgia. The beach and the mountains lie just two hours away.    
    "
"604","616","    
        
        Well-Connected Roads -    
        
    ","    
        
            
        With a wide variety of amenities within just a short drive, you will find the area pleasantly devoid of the traffic snarls plaguing so many metropolitan areas. Interstate 20 bisects the area and connects Aiken with Augusta and puts you close to conveniences and shopping.     
    "
"605","617","    
        
        Stunning Beaches -    
        
    ","    
        
            
        Charleston’s got the harbor, but just minutes away, the charming village of Sullivan’s Island has the ocean and pristine sand. To the south, there’s the eclectic charm of Folly Beach.    
    "
"606","618","    
        
        Fore! -    
        
    ","    
        
            
        There are over twenty golf courses in the Charleston region and Kiawah Island is one of the country’s top golf resorts, featuring five championship courses in privileged oceanfront locations.    
    "
"607","619","    
        
        Memorable Walks -    
        
    ","    
        
            
        One of the best things is how long you can be there without ever needing your car. The City is compact, safe and walkable. It epitomizes “pedestrian-friendly”. In the low country region, there are numerous walking paths through natural wonderlands with scenic vistas. And, of course, there are always strolls on the beach.     
    "
"590","602","    
        
        Location -    
        
    ","    
        
            
        Depending on where you choose to live, 1 to 2 hours to the mountains and 1 to 2 hours to the beach… tops!    
    "
"591","603","    
        
        Small Town, “All American” Lifestyle -    
        
    ","    
        
            
        over 700,000 people across 11 counties call the Midlands home but many are able to live in small towns with relatively short work commutes and a low cost of living. These small towns offer great schools, families close-by and the opportunities for making great new friends that will last a lifetime.    
    "
"592","604","    
        
        Outdoor Sports -    
        
    ","    
        
            
        From kayaking on the many rivers to sailing on the beautiful lakes to cheering on the Fighting Gamecocks on any weekend, the Midlands offers simply the best in outdoor recreational activities.    
    "
"596","608","    
        
        Modern Healthcare -    
        
    ","    
        
            
        Florence is home to two award-winning hospital systems, McLeod Regional Medical Center and Carolinas Hospital System. Both hospital systems have achieved numerous accreditations and accolades.    
    "
"597","609","    
        
        Exciting Downtown -    
        
    ","    
        
            
        Downtown is currently undergoing a massive revitalization. With the opening of the Florence County museum and the Francis Marion Performing Arts Center, downtown Florence has exploded. Several new restaurants and businesses have opened and many continue to flock to the downtown district.    
    "
"598","610","    
        
        All American City -    
        
    ","    
        
            
        Florence has been named an All-American City, presented by the National Civic League.    
    "
"593","605","    
        
        Vibrant Downtowns -    
        
    ","    
        
            
        Upstate, SC has become a favorite destination for diners and shoppers who want to experience a unique variety of dining experiences unmatched in the state.    
    "
"594","606","    
        
        Outdoor Activities -    
        
    ","    
        
            
        Are plentiful, particularly in the Blue Ridge Mountains to the north and lakes to the west. Clemson, SC, home of Clemson University, offers college town lifestyle and great Saturday football.    
    "
"595","607","    
        
        Economic Powerhouse -    
        
    ","    
        
            
        From across the globe, the Upstate attracts top-performing companies that bring high-paying jobs, a strong economic base, new infrastructure – all while maintaining a relatively low cost of living.    
    "
"599","611","    
        
        Sparkling Crystal Beaches -    
        
    ","    
        
            
        We've got 60 miles of them. And they're gorgeous! Sparkling waters, white sands, endless possibilities.    
    "
"600","612","    
        
        365 Days of Golf -    
        
    ","    
        
            
        With over 100 championship courses, many designed by some of the legends of the game, Myrtle Beach is a golfer's paradise. We're often called the golf capital of the world, and it's easy to see why.     
    "
"601","613","    
        
        Our People -    
        
    ","    
        
            
        From belles to bikers, our city is never short of fun, interesting people who are bursting with Southern charm and hospitality. Bring the family, and make some new friends that will last you a lifetime.    
    "
